Name,Edition (code),Price
"Dragonspeaker Shaman","(ddg)","$4.05"
"Dragonstalker","(scg)","$0.37"
"Draining Whelk","(tsr)","$0.74"
"Drainpipe Vermin","(rtr)","$0.33"
"Drake Familiar","(rav)","$0.36"
"Drake Hatchling","(mmq)","$0.36"
"Drakestown Forgotten","(cns)","$0.73"
"Drakewing Krasis","(gtc)","$0.27"
"Drakuseth, Maw of Flames","(m20)","$6.03"
"Dralnu's Pet","(pls)","$0.62"
"Dralnu, Lich Lord","(tsr)","$0.52"
"Drana's Chosen","(ogw)","$0.49"
"Drana's Emissary","(bfz)","$0.92"
"Drana's Silencer","(znr)","$0.25"
"Drana, Kalastria Bloodchief","(c14)","$1.16"
"Drana, Liberator of Malakir","(bfz)","$8.97"
"Drana, the Last Bloodchief","(znr)","$4.30"
"Drannith Healer","(iko)","$0.37"
"Drannith Magistrate","(iko)","$11.01"
"Drannith Stinger","(iko)","$0.37"
"Draugr Necromancer","(khm)","$0.74"
"Draugr Recruiter","(khm)","$0.22"
"Draugr Thought-Thief","(khm)","$0.22"
"Dread","(lrw)","$13.34"
"Dread Cacodemon","(cma)","$4.40"
"Dread Defiler","(ogw)","$0.50"
"Dread Drone","(mm2)","$0.37"
"Dread Reaper","(por)","$0.96"
"Dread Rider","(khm)","$0.22"
"Dread Shade","(dom)","$0.65"
"Dread Slag","(dis)","$0.62"
"Dread Slaver","(avr)","$0.67"
"Dread Specter","(mir)","$0.37"
"Dread Wanderer","(akh)","$1.85"
"Dread Warlock","(m10)","$0.28"
"Dread Wight","(ice)","$0.73"
"Dreadbringer Lampads","(jou)","$0.31"
"Dreadhorde Arcanist","(war)","$2.96"
"Dreadhorde Twins","(war)","$0.37"
"Dreadhound","(mid)","$0.37"
"Dreadlight Monstrosity","(vow)","$0.22"
"Dreadmalkin","(war)","$0.37"
"Dreadwing","(con)","$0.37"
"Dreadwurm","(znr)","$0.25"
"Dream Devourer","(khm)","$1.76"
"Dream Eater","(grn)","$1.70"
"Dream Fighter","(mir)","$0.36"
"Dream Pillager","(cm2)","$0.73"
"Dream Pillager","(cm2)","$0.73"
"Dream Prowler","(sth)","$0.33"
"Dream Stalker","(tsp)","$0.44"
"Dream Thief","(eve)","$0.37"
"Dream Thrush","(inv)","$0.36"
"Dream Trawler","(thb)","$0.74"
"Dreamborn Muse","(cm2)","$4.95"
"Dreamcaller Siren","(xln)","$0.68"
"Dreamcatcher","(sok)","$0.36"
"Dreampod Druid","(pca)","$0.53"
"Dreamscape Artist","(plc)","$0.37"
"Dreamshaper Shaman","(thb)","$0.37"
"Dreamspoiler Witches","(lrw)","$0.34"
"Dreamstalker Manticore","(thb)","$0.37"
"Dreamstealer","(hou)","$0.61"
"Dreamtail Heron","(iko)","$0.37"
"Dreamwinder","(ody)","$0.30"
"Dreg Mangler","(rtr)","$0.37"
"Dreg Reaver","(ala)","$0.33"
"Dregscape Sliver","(mh1)","$0.56"
"Dregscape Zombie","(ala)","$0.34"
"Drekavac","(dis)","$0.37"
"Drelnoch","(csp)","$0.33"
"Drey Keeper","(mh2)","$0.30"
"Drider","(afr)","$0.34"
"Drift of the Dead","(cst)","$0.43"
"Drifter il-Dal","(tsp)","$0.36"
"Drifting Djinn","(usg)","$0.73"
"Drifting Shade","(m12)","$0.28"
"Drill-Skimmer","(dst)","$0.33"
"Drinker of Sorrow","(lgn)","$0.56"
"Dripping Dead","(lgn)","$0.31"
"Dripping-Tongue Zubera","(chk)","$0.37"
"Driver of the Dead","(ddq)","$0.36"
"Drogskol Captain","(dka)","$1.02"
"Drogskol Cavalry","(psoi)","$1.16"
"Drogskol Infantry // Drogskol Armaments","(vow)","$0.22"
"Drogskol Shieldmate","(emn)","$0.37"
"Dromad Purebred","(rav)","$0.34"
"Dromar's Attendant","(inv)","$0.37"
"Dromar, the Banisher","(inv)","$5.10"
"Dromoka Captain","(dtk)","$0.37"
"Dromoka Dunecaster","(dtk)","$0.30"
"Dromoka Warrior","(dtk)","$0.30"
"Dromoka, the Eternal","(frf)","$0.74"
"Dromosaur","(usg)","$0.37"
"Droning Bureaucrats","(gpt)","$0.37"
"Drooling Groodion","(mm2)","$0.37"
"Drooling Ogre","(dst)","$0.34"
"Dross Crocodile","(5dn)","$0.31"
"Dross Golem","(dst)","$0.36"
"Dross Harvester","(mrd)","$1.29"
"Dross Hopper","(som)","$0.30"
"Dross Prowler","(mrd)","$0.28"
"Dross Ripper","(mbs)","$0.28"
"Dross Scorpion","(mrd)","$0.39"
"Drover of the Mighty","(xln)","$0.49"
"Drowned","(drk)","$0.58"
"Drowned Rusalka","(gpt)","$0.40"
"Drowner Initiate","(shm)","$0.37"
"Drowner of Hope","(bfz)","$0.62"
"Drowner of Secrets","(lrw)","$0.43"
"Drownyard Behemoth","(emn)","$0.37"
"Drownyard Explorers","(soi)","$0.30"
"Drowsing Tyrannodon","(m21)","$0.27"
"Drudge Beetle","(rtr)","$0.28"
"Drudge Reavers","(tsp)","$0.33"
"Drudge Sentinel","(dom)","$0.28"
"Drudge Skeletons","(3ed)","$0.37"
"Druid Lyrist","(ody)","$0.34"
"Druid of Horns","(m19)","$0.37"
"Druid of the Anima","(ala)","$0.39"
"Druid of the Cowl","(aer)","$0.30"
"Drumhunter","(ala)","$0.89"
"Drunau Corpse Trawler","(soi)","$0.39"
"Dryad Arbor","(fut)","$6.39"
"Dryad Greenseeker","(m19)","$0.44"
"Dryad Militant","(rtr)","$0.37"
"Dryad Sophisticate","(gpt)","$0.44"
"Dryad of the Ilysian Grove","(thb)","$22.14"
"Dualcaster Mage","(jmp)","$0.73"
"Duct Crawler","(10e)","$0.31"
"Duelcraft Trainer","(mid)","$0.30"
"Dueling Coach","(stx)","$0.37"
"Duergar Assailant","(eve)","$0.36"
"Duergar Cave-Guard","(eve)","$0.43"
"Duergar Hedge-Mage","(cma)","$3.33"
"Duergar Mine-Captain","(eve)","$0.46"
"Dukhara Peafowl","(kld)","$0.28"
"Dukhara Scavenger","(kld)","$0.30"
"Dulcet Sirens","(c14)","$1.69"
"Dune Beetle","(akh)","$0.25"
"Dune Diviner","(hou)","$0.37"
"Dune-Brood Nephilim","(plist)","$2.88"
"Dunerider Outlaw","(plc)","$0.37"
"Dungeon Crawler","(afr)","$0.36"
"Dungeon Geists","(cma)","$0.56"
"Dungeon Shade","(sth)","$0.34"
"Dungrove Elder","(m12)","$2.09"
"Duplicant","(c18)","$1.13"
"Durable Coilbug","(iko)","$0.27"
"Durkwood Baloth","(mma)","$0.36"
"Durkwood Boars","(4ed)","$0.33"
"Durkwood Tracker","(tsp)","$0.37"
"Dusk Charger","(rix)","$0.30"
"Dusk Feaster","(emn)","$0.37"
"Dusk Imp","(10e)","$0.33"
"Dusk Legion Zealot","(rix)","$0.44"
"Dusk Urchins","(shm)","$6.71"
"Duskborne Skymarcher","(xln)","$0.37"
"Duskdale Wurm","(m13)","$0.37"
"Duskfang Mentor","(iko)","$0.37"
"Duskhunter Bat","(m12)","$0.28"
"Duskmantle Guildmage","(gtc)","$1.48"
"Duskmantle Operative","(war)","$0.28"
"Duskmantle Prowler","(m13)","$0.36"
"Duskmantle Seer","(gtc)","$0.74"
"Duskrider Falcon","(wth)","$0.34"
"Duskrider Peregrine","(tsp)","$0.37"
"Duskshell Crawler","(mh2)","$0.28"
"Duskwalker","(inv)","$0.34"
"Duskwatch Recruiter // Krallenhorde Howler","(soi)","$4.65"
"Duskwielder","(khm)","$0.22"
"Duskworker","(mrd)","$0.37"
"Dust Elemental","(plc)","$0.76"
"Dust Stalker","(bfz)","$0.55"
"Dutiful Attendant","(dtk)","$0.33"
"Dutiful Attendant","(jmp)","$0.30"
"Dutiful Servants","(hou)","$0.25"
"Dutiful Thrull","(gtc)","$0.27"
"Duty-Bound Dead","(m13)","$0.30"
"Dwarfhold Champion","(afr)","$0.22"
"Dwarven Armorer","(fem)","$4.43"
"Dwarven Demolition Team","(8ed)","$0.37"
"Dwarven Driller","(jud)","$3.88"
"Dwarven Grunt","(ody)","$0.46"
"Dwarven Lieutenant","(fem)","$0.44"
"Dwarven Lightsmith","(bbd)","$0.30"
"Dwarven Nomad","(mir)","$0.37"
"Dwarven Patrol","(apc)","$0.37"
"Dwarven Pony","(hml)","$4.40"
"Dwarven Priest","(m19)","$0.30"
"Dwarven Recruiter","(ody)","$7.41"
"Dwarven Scorcher","(jud)","$0.36"
"Dwarven Sea Clan","(hml)","$2.34"
"Dwarven Soldier","(fem)","$0.36"
"Dwarven Strike Force","(ody)","$0.37"
"Dwarven Thaumaturgist","(wth)","$8.15"
"Dwarven Trader","(hml)","$0.30"
"Dwarven Vigilantes","(vis)","$0.36"
"Dwarven Warriors","(leb)","$15.83"
"Dwarven Weaponsmith","(3ed)","$0.44"
"Dwynen's Elite","(ori)","$0.65"
"Eager Cadet","(7ed)","$0.34"
"Eager Construct","(kld)","$0.28"
"Eager First-Year","(stx)","$0.22"
"Eagle of the Watch","(ori)","$0.34"
"Earsplitting Rats","(jud)","$0.37"
"Earth Elemental","(ima)","$0.30"
"Earth Servant","(ddi)","$0.37"
"Earth-Cult Elemental","(afr)","$0.22"
"Earth-Origin Yak","(gs1)","$0.37"
"Earthblighter","(lgn)","$0.37"
"Earthen Goo","(csp)","$0.37"
"Earthshaker","(chk)","$0.37"
"Earthshaker Khenra","(hou)","$0.74"
"Earthshaking Si","(gs1)","$0.37"
"Eastern Paladin","(usg)","$0.74"
"Eater of Days","(dst)","$2.21"
"Eater of Hope","(c15)","$0.52"
"Eater of the Dead","(drk)","$21.47"
"Ebon Drake","(5dn)","$0.39"
"Ebon Praetor","(fem)","$4.09"
"Ebony Rhino","(hml)","$0.37"
"Ebony Treefolk","(apc)","$0.39"
"Eccentric Apprentice","(afr)","$0.36"
"Echo Mage","(roe)","$0.82"
"Echo Tracer","(ddn)","$0.59"
"Eddytrail Hawk","(kld)","$0.28"
"Edgar Markov","(c17)","$169.29"
"Edgewalker","(scg)","$2.96"
"Edgewall Innkeeper","(eld)","$0.37"
"Efreet Flamepainter","(stx)","$0.58"
"Efreet Weaponmaster","(ktk)","$0.30"
"Egon, God of Death // Throne of Death","(khm)","$0.74"
"Eidolon of Countless Battles","(bng)","$2.07"
"Eidolon of Inspiration","(thb)","$0.37"
"Eidolon of Obstruction","(thb)","$0.52"
"Eidolon of Philosophy","(thb)","$0.30"
"Eidolon of Rhetoric","(jou)","$1.48"
"Eidolon of the Great Revel","(a25)","$26.34"
"Eiganjo Free-Riders","(sok)","$0.40"
"Eight-and-a-Half-Tails","(ema)","$4.05"
"Ekundu Cyclops","(mir)","$0.34"
"Ekundu Griffin","(mir)","$0.34"
"El-Hajjâj","(4ed)","$0.70"
"Eladamri, Lord of Leaves","(tmp)","$127.69"
"Elder Cathar","(isd)","$0.30"
"Elder Deep-Fiend","(emn)","$0.96"
"Elder Druid","(5ed)","$0.71"
"Elder Land Wurm","(4ed)","$0.65"
"Elder Pine of Jukai","(sok)","$0.37"
"Elder of Laurels","(isd)","$0.55"
"Elderfang Disciple","(khm)","$0.28"
"Elderfang Ritualist","(khm)","$0.37"
"Elderleaf Mentor","(khm)","$0.27"
"Elderwood Scion","(pca)","$0.70"
"Eldrazi Aggressor","(ogw)","$0.30"
"Eldrazi Devastator","(bfz)","$0.40"
"Eldrazi Displacer","(ogw)","$5.36"
"Eldrazi Mimic","(ogw)","$1.36"
"Eldrazi Obligator","(ogw)","$0.73"
"Eldrazi Skyspawner","(bfz)","$0.37"
"Electric Eel","(drk)","$2.86"
"Electrostatic Field","(grn)","$1.42"
"Electrostatic Pummeler","(kld)","$0.56"
"Electryte","(usg)","$0.64"
"Elegant Edgecrafters","(kld)","$0.37"
"Elemental Expressionist","(stx)","$0.49"
"Elenda, the Dusk Rose","(rix)","$37.52"
"Elephant Ambush","(ody)","$0.37"
"Elesh Norn, Grand Cenobite","(mm2)","$28.87"
"Elf Replica","(mrd)","$0.31"
"Elfhame Druid","(dom)","$0.37"
"Elgaud Inquisitor","(dka)","$0.30"
"Elgaud Shieldmate","(avr)","$0.30"
"Eligeth, Crossroads Augur","(cmr)","$0.44"
"Elite Arcanist","(m14)","$0.74"
"Elite Archers","(7ed)","$0.71"
"Elite Arrester","(rna)","$0.37"
"Elite Cat Warrior","(por)","$0.37"
"Elite Guardmage","(war)","$0.44"
"Elite Headhunter","(eld)","$0.37"
"Elite Inquisitor","(isd)","$0.71"
"Elite Instructor","(thb)","$0.30"
"Elite Javelineer","(tmp)","$0.34"
"Elite Scaleguard","(c16)","$0.39"
"Elite Skirmisher","(bng)","$0.30"
"Elite Vanguard","(m12)","$0.37"
"Elsha of the Infinite","(c19)","$1.11"
"Elspeth's Devotee","(thb)","$0.52"
"Elturgard Ranger","(afr)","$0.22"
"Elusive Krasis","(gtc)","$0.37"
"Elusive Spellfist","(ima)","$0.31"
"Elusive Tormentor // Insidious Mist","(soi)","$0.55"
"Elven Riders","(5ed)","$0.37"
"Elven Warhounds","(tmp)","$0.82"
"Elves of Deep Shadow","(ddj)","$3.23"
"Elvish Aberration","(a25)","$0.34"
"Elvish Archdruid","(ddu)","$2.22"
"Elvish Archers","(6ed)","$0.73"
"Elvish Bard","(all)","$0.37"
"Elvish Berserker","(10e)","$0.30"
"Elvish Branchbender","(lrw)","$0.37"
"Elvish Clancaller","(m19)","$2.96"
"Elvish Doomsayer","(cmr)","$0.30"
"Elvish Dreadlord","(cmr)","$0.67"
"Elvish Eulogist","(lrw)","$0.36"
"Elvish Farmer","(fem)","$7.60"
"Elvish Handservant","(lrw)","$0.36"
"Elvish Harbinger","(lrw)","$11.34"
"Elvish Healer","(ice)","$0.31"
"Elvish Herder","(usg)","$0.39"
"Elvish Hexhunter","(shm)","$0.37"
"Elvish Hunter","(fem)","$0.37"
"Elvish Lookout","(uds)","$0.37"
"Elvish Lyrist","(brb)","$0.53"
"Elvish Mystic","(ddu)","$0.89"
"Elvish Pathcutter","(ons)","$0.33"
"Elvish Pioneer","(ons)","$0.37"
"Elvish Ranger","(all)","$0.34"
"Elvish Reclaimer","(m20)","$6.62"
"Elvish Rejuvenator","(m19)","$0.37"
"Elvish Scout","(fem)","$0.37"
"Elvish Scrapper","(8ed)","$0.47"
"Elvish Skysweeper","(rav)","$0.34"
"Elvish Soultiller","(lgn)","$0.74"
"Elvish Spirit Guide","(all)","$20.54"
"Elvish Vanguard","(ons)","$2.96"
"Elvish Visionary","(m13)","$0.34"
"Elvish Warrior","(evg)","$0.37"
"Emancipation Angel","(uma)","$0.43"
"Embalmed Brawler","(lgn)","$0.33"
"Ember Beast","(cn2)","$0.33"
"Ember Hauler","(m20)","$0.37"
"Ember Swallower","(ths)","$0.47"
"Ember Weaver","(a25)","$0.33"
"Ember-Eye Wolf","(soi)","$0.30"
"Ember-Fist Zubera","(chk)","$0.37"
"Embereth Paladin","(eld)","$0.25"
"Embereth Skyblazer","(eld)","$0.59"
"Emberhorn Minotaur","(akh)","$0.30"
"Embermage Goblin","(ons)","$0.37"
"Embermaw Hellion","(ori)","$0.74"
"Embersmith","(som)","$0.37"
"Emberstrike Duo","(shm)","$0.33"
"Emberwilde Augur","(evg)","$0.37"
"Emberwilde Captain","(cmr)","$0.74"
"Emberwilde Djinn","(mir)","$3.08"
"Emblazoned Golem","(apc)","$0.37"
"Embodiment of Agonies","(m20)","$0.74"
"Embodiment of Fury","(ogw)","$0.37"
"Embodiment of Insight","(znc)","$0.36"
"Embodiment of Spring","(ktk)","$0.36"
"Embraal Bruiser","(kld)","$0.37"
"Embraal Gear-Smasher","(aer)","$0.28"
"Emerald Dragonfly","(chr)","$0.31"
"Emerald Oryx","(m10)","$0.31"
"Emeria Angel","(ima)","$1.47"
"Emeria Captain","(znr)","$0.37"
"Emeria Shepherd","(bfz)","$1.11"
"Emiel the Blessed","(jmp)","$21.90"
"Emissary of Despair","(dst)","$0.37"
"Emissary of Grudges","(c18)","$0.65"
"Emissary of Grudges","(c18)","$0.65"
"Emissary of Hope","(dst)","$0.36"
"Emissary of Sunrise","(xln)","$0.37"
"Emissary of the Sleepless","(soi)","$0.30"
"Emmara Tandris","(dgm)","$0.71"
"Emmara, Soul of the Accord","(grn)","$0.74"
"Emperor Crocodile","(ema)","$0.36"
"Emperor's Vanguard","(xln)","$0.49"
"Empress Galina","(inv)","$30.13"
"Empty-Shrine Kannushi","(bok)","$0.39"
"Empyreal Voyager","(kld)","$0.37"
"Empyrean Eagle","(m20)","$0.59"
"Empyrial Archangel","(ala)","$4.22"
"Emrakul's Evangel","(emn)","$0.71"
"Emrakul's Hatcher","(roe)","$0.43"
"Emrakul, the Aeons Torn","(mm2)","$70.68"
"Emrakul, the Promised End","(emn)","$57.89"
"Emry, Lurker of the Loch","(eld)","$5.17"
"Enatu Golem","(roe)","$0.37"
"Encampment Keeper","(xln)","$0.28"
"Enchanted Being","(leg)","$1.96"
"Enclave Cryptologist","(roe)","$0.73"
"Enclave Elite","(cns)","$0.33"
"End-Raze Forerunners","(rna)","$1.47"
"End-Raze Forerunners","(rna)","$1.47"
"Endangered Armodon","(sth)","$0.31"
"Endbringer","(pogw)","$1.42"
"Endless Cockroaches","(c13)","$1.41"
"Endless Wurm","(usg)","$1.17"
"Endling","(mh1)","$0.70"
"Endrek Sahr, Master Breeder","(mm2)","$3.94"
"Endurance","(mh2)","$76.40"
"Enduring Scalelord","(bbd)","$0.37"
"Enduring Sliver","(mh1)","$0.37"
"Enemy of Enlightenment","(thb)","$0.37"
"Enemy of the Guildpact","(dis)","$0.34"
"Energizer","(tmp)","$0.65"
"Enforcer Griffin","(war)","$0.30"
"Engulfing Slagwurm","(som)","$1.42"
"Enigma Drake","(akh)","$0.43"
"Enigma Eidolon","(dis)","$0.36"
"Enigma Sphinx","(c18)","$0.64"
"Enigma Thief","(znc)","$0.58"
"Enlightened Ascetic","(ori)","$0.37"
"Enlightened Maniac","(emn)","$0.30"
"Enlisted Wurm","(arb)","$0.37"
"Enlistment Officer","(apc)","$0.43"
"Enormous Baloth","(10e)","$0.37"
"Enraged Ceratok","(rna)","$0.36"
"Enraged Giant","(aer)","$0.37"
"Enraged Revolutionary","(cns)","$0.34"
"Enraging Licid","(tmp)","$0.37"
"Enslaved Dwarf","(tor)","$0.37"
"Enslaved Horror","(mmq)","$0.37"
"Enslaved Scout","(all)","$0.36"
"Enthralling Victor","(ori)","$0.37"
"Entomber Exarch","(nph)","$0.37"
"Entourage of Trest","(cmr)","$0.33"
"Entrails Feaster","(ons)","$0.71"
"Entropic Eidolon","(dis)","$0.31"
"Eon Frolicker","(c20)","$0.56"
"Ephara's Warden","(ths)","$0.28"
"Epicure of Blood","(m20)","$0.34"
"Epitaph Golem","(soi)","$0.37"
"Epochrasite","(mma)","$0.53"
"Erayo, Soratami Ascendant // Erayo's Essence","(sok)","$15.37"
"Erdwal Illuminator","(soi)","$0.44"
"Erdwal Ripper","(dka)","$0.28"
"Erebos's Emissary","(ths)","$0.36"
"Erebos's Titan","(ori)","$1.05"
"Erebos, Bleak-Hearted","(thb)","$3.65"
"Erg Raiders","(a25)","$0.31"
"Erhnam Djinn","(jud)","$0.64"
"Erithizon","(mmq)","$0.64"
"Eron the Relentless","(tsb)","$0.40"
"Errant Doomsayers","(tsp)","$0.30"
"Errant Ephemeron","(tsr)","$0.22"
"Erratic Cyclops","(grn)","$0.46"
"Erratic Visionary","(war)","$0.30"
"Ersatz Gnomes","(mir)","$0.39"
"Erstwhile Trooper","(grn)","$0.22"
"Ertai's Familiar","(wth)","$3.48"
"Ertai, Wizard Adept","(exo)","$38.21"
"Ertai, the Corrupted","(pls)","$6.22"
"Escape Artist","(ody)","$0.36"
"Escaped Null","(roe)","$0.37"
"Escaped Shapeshifter","(tmp)","$8.18"
"Esior, Wardwing Familiar","(cmr)","$0.37"
"Esper Battlemage","(ala)","$0.37"
"Esper Cormorants","(con)","$0.34"
"Esper Sentinel","(mh2)","$28.35"
"Esper Sojourners","(arb)","$0.34"
"Esper Stormblade","(arb)","$0.36"
"Esperzoa","(ddf)","$0.37"
"Essence Depleter","(ogw)","$0.37"
"Essence Sliver","(tsb)","$15.41"
"Essence Symbiote","(iko)","$0.37"
"Essence Warden","(c14)","$7.60"
"Essence of the Wild","(isd)","$1.33"
"Estwald Shieldbasher","(vow)","$0.22"
"Etched Champion","(som)","$7.41"
"Etched Monstrosity","(mm2)","$0.73"
"Etched Oracle","(mma)","$0.37"
"Eternal Dragon","(c13)","$0.80"
"Eternal Scourge","(emn)","$2.30"
"Eternal Skylord","(war)","$0.37"
"Eternal Taskmaster","(war)","$0.37"
"Eternal Witness","(uma)","$5.91"
"Eternal of Harsh Truths","(hou)","$0.37"
"Ethercaste Knight","(mm2)","$0.39"
"Ethereal Champion","(6ed)","$0.65"
"Ethereal Elk","(m20)","$0.67"
"Ethereal Forager","(c20)","$1.47"
"Ethereal Usher","(rav)","$0.44"
"Ethereal Valkyrie","(khc)","$0.74"
"Ethereal Whiskergill","(lrw)","$0.37"
"Etherium Abomination","(arb)","$0.34"
"Etherium Sculptor","(mma)","$0.74"
"Etherium Spinner","(mh2)","$0.22"
"Etherium-Horn Sorcerer","(c17)","$0.59"
"Ethersworn Adjudicator","(c16)","$3.85"
"Ethersworn Canonist","(2xm)","$12.36"
"Ethersworn Shieldmage","(arc)","$0.36"
"Ethersworn Sphinx","(mh2)","$0.37"
"Etrata, the Silencer","(grn)","$0.82"
"Eutropia the Twice-Favored","(thb)","$0.37"
"Evangel of Heliod","(ths)","$0.37"
"Everbark Shaman","(mor)","$0.37"
"Everdawn Champion","(rix)","$0.37"
"Everflame Eidolon","(bng)","$0.37"
"Everglove Courier","(ons)","$0.37"
"Evernight Shade","(avr)","$0.37"
"Everquill Phoenix","(iko)","$0.59"
"Evershrike","(eve)","$1.47"
"Evil Eye of Orms-by-Gore","(tsb)","$0.44"
"Evil Eye of Urborg","(tsp)","$0.37"
"Evil Twin","(mm3)","$0.82"
"Eviscerator","(ulg)","$0.65"
"Evolution Sage","(war)","$2.24"
"Evra, Halcyon Witness","(dom)","$0.58"
"Exalted Angel","(v15)","$4.74"
"Exalted Dragon","(exo)","$6.91"
"Exava, Rakdos Blood Witch","(dgm)","$0.70"
"Excavated Wall","(stx)","$0.22"
"Excavating Anurid","(mh1)","$0.31"
"Excavation Elephant","(dom)","$0.28"
"Excavation Mole","(iko)","$0.27"
"Exclusion Mage","(jmp)","$0.37"
"Excruciator","(rav)","$0.64"
"Exemplar of Strength","(akh)","$0.37"
"Exhumer Thrull","(gpt)","$0.37"
"Exiled Boggart","(lrw)","$0.34"
"Exiled Doomsayer","(scg)","$0.61"
"Exorcist","(drk)","$42.98"
"Expedition Champion","(znr)","$0.22"
"Expedition Diviner","(znr)","$0.22"
"Expedition Envoy","(bfz)","$0.37"
"Expedition Healer","(znr)","$0.22"
"Expedition Raptor","(bbd)","$0.33"
"Expedition Skulker","(znr)","$0.27"
"Expendable Troops","(ulg)","$0.34"
"Experiment One","(c15)","$1.24"
"Experimental Aviator","(kld)","$0.37"
"Exquisite Archangel","(aer)","$4.70"
"Exquisite Huntmaster","(cmr)","$0.22"
"Extractor Demon","(c15)","$0.50"
"Extravagant Spirit","(mmq)","$0.62"
"Extruder","(mh2)","$0.30"
"Exuberant Firestoker","(ala)","$0.37"
"Exuberant Wolfbear","(iko)","$0.37"
"Exultant Cultist","(emn)","$0.30"
"Exultant Skymarcher","(rix)","$0.28"
"Eye Collector","(eld)","$0.25"
"Eyeblight Assassin","(ori)","$0.28"
"Eyeblight Cullers","(cmr)","$0.27"
"Eyekite","(mh1)","$0.33"
"Eyeless Watcher","(bfz)","$0.36"
"Eyetwitch","(stx)","$0.58"
"Ezuri's Archers","(som)","$0.33"
"Ezuri's Brigade","(som)","$0.52"
"Ezuri, Claw of Progress","(oc15)","$1.87"
"Ezuri, Renegade Leader","(som)","$13.10"
"Ezzaroot Channeler","(c21)","$0.74"
"Fa'adiyah Seer","(plc)","$0.34"
"Fabled Hero","(ths)","$0.68"
"Face of Fear","(ody)","$0.37"
"Faceless Butcher","(tor)","$0.40"
"Faceless Devourer","(tsp)","$0.37"
"Facet Reader","(iko)","$0.27"
"Facevaulter","(lrw)","$0.34"
"Fae of Wishes // Granted","(eld)","$0.56"
"Faerie Artisans","(c16)","$21.10"
"Faerie Duelist","(rna)","$0.30"
"Faerie Formation","(eld)","$1.47"
"Faerie Harbinger","(lrw)","$1.38"
"Faerie Impostor","(rtr)","$0.37"
"Faerie Invaders","(m13)","$0.30"
"Faerie Mechanist","(con)","$0.37"
"Faerie Miscreant","(m20)","$0.37"
"Faerie Noble","(hml)","$6.09"
"Faerie Seer","(mh1)","$1.07"
"Faerie Squadron","(inv)","$0.36"
"Faerie Swarm","(shm)","$1.59"
"Faerie Vandal","(eld)","$0.37"
"Fain, the Broker","(c21)","$1.33"
"Fairgrounds Patrol","(mh2)","$0.22"
"Fairgrounds Trumpeter","(kld)","$0.37"
"Fairgrounds Warden","(kld)","$0.37"
"Faith Healer","(usg)","$2.86"
"Faithbearer Paladin","(emn)","$0.30"
"Falconer Adept","(m21)","$0.36"
"Falkenrath Aristocrat","(dka)","$1.48"
"Falkenrath Celebrants","(vow)","$0.22"
"Falkenrath Exterminator","(avr)","$0.37"
"Falkenrath Gorger","(soi)","$0.87"
"Falkenrath Marauders","(isd)","$0.68"
"Falkenrath Noble","(isd)","$0.73"
"Falkenrath Reaver","(emn)","$0.30"
"Falkenrath Torturer","(dka)","$0.28"
"Fallen Angel","(a25)","$0.43"
"Fallen Askari","(vis)","$0.34"
"Fallen Cleric","(ons)","$0.33"
"Fallen Ferromancer","(nph)","$0.37"
"Fallen Shinobi","(mh1)","$7.66"
"Fallow Wurm","(wth)","$0.37"
"Fallowsage","(lrw)","$0.93"
"False Prophet","(cmd)","$1.44"
"Falthis, Shadowcat Familiar","(cmr)","$2.18"
"Famished Ghoul","(ody)","$0.36"
"Famished Paladin","(rix)","$0.37"
"Fan Bearer","(akh)","$0.28"
"Fan Favorite","(bbd)","$0.36"
"Fanatic of Mogis","(ths)","$0.46"
"Fanatic of Xenagos","(bng)","$0.37"
"Fanatical Firebrand","(rix)","$0.37"
"Fang Skulkin","(eve)","$0.44"
"Fang of the Pack","(cn2)","$0.44"
"Fangblade Brigand // Fangblade Eviscerator","(mid)","$0.37"
"Fangren Hunter","(mrd)","$0.33"
"Fangren Marauder","(mbs)","$0.37"
"Fangren Pathcutter","(5dn)","$0.37"
"Farbog Boneflinger","(dka)","$0.36"
"Farbog Explorer","(avr)","$0.28"
"Farbog Revenant","(soi)","$0.30"
"Farfinder","(iko)","$0.30"
"Farhaven Elf","(c13)","$0.98"
"Farideh, Devil's Chosen","(afr)","$0.37"
"Farmstead Gleaner","(mh1)","$0.37"
"Farrel's Zealot","(fem)","$0.36"
"Farrelite Priest","(fem)","$0.37"
"Farsight Adept","(znr)","$0.22"
"Fate Unraveler","(c15)","$1.23"
"Fatespinner","(mrd)","$6.05"
"Fatestitcher","(ala)","$4.45"
"Fathom Feeder","(bfz)","$0.68"
"Fathom Fleet Boarder","(rix)","$0.28"
"Fathom Fleet Captain","(xln)","$0.83"
"Fathom Fleet Cutthroat","(xln)","$0.30"
"Fathom Fleet Firebrand","(xln)","$0.27"
"Fathom Fleet Swordjack","(cmr)","$0.37"
"Fathom Mage","(gk2)","$0.67"
"Fathom Seer","(a25)","$0.31"
"Fault Riders","(pcy)","$0.33"
"Faultgrinder","(lrw)","$0.36"
"Favored Hoplite","(ths)","$0.50"
"Favored of Iroas","(thb)","$0.37"
"Fblthp, the Lost","(war)","$0.74"
"Fearful Villager // Fearsome Werewolf","(vow)","$0.22"
"Fearless Fledgling","(znr)","$0.37"
"Fearless Halberdier","(grn)","$0.24"
"Fearless Liberator","(khm)","$0.34"
